seed,feature_map,n_qubits,reps,entanglement,alpha,C,val_accuracy,alignment,effective_rank,classical_control
42,zz,4,1,linear,0.25,1,0.8045,0.10901688008337819,1.4272397760560647,0.819
42,zz,4,1,linear,0.25,10,0.819,0.10901688008337819,1.4272397760560647,0.819
42,zz,4,1,linear,0.25,100,0.818,0.10901688008337819,1.4272397760560647,0.819
42,zz,4,1,linear,0.5,1,0.813,0.14651118301815697,2.564817250391233,0.819
42,zz,4,1,linear,0.5,10,0.8145,0.14651118301815697,2.564817250391233,0.819
42,zz,4,1,linear,0.5,100,0.808,0.14651118301815697,2.564817250391233,0.819
42,zz,4,1,linear,1.0,1,0.8155,0.1969833982504318,7.722668356155666,0.819
42,zz,4,1,linear,1.0,10,0.8105,0.1969833982504318,7.722668356155666,0.819
42,zz,4,1,linear,1.0,100,0.8135,0.1969833982504318,7.722668356155666,0.819
42,zz,4,1,linear,2.0,1,0.8135,0.19094472028182255,32.04108599059376,0.819
42,zz,4,1,linear,2.0,10,0.8095,0.19094472028182255,32.04108599059376,0.819
42,zz,4,1,linear,2.0,100,0.802,0.19094472028182255,32.04108599059376,0.819
42,zz,4,2,linear,0.25,1,0.814,0.12151625363938759,1.5320555834907479,0.819
42,zz,4,2,linear,0.25,10,0.819,0.12151625363938759,1.5320555834907479,0.819
42,zz,4,2,linear,0.25,100,0.819,0.12151625363938759,1.5320555834907479,0.819
42,zz,4,2,linear,0.5,1,0.82,0.16360999660903616,3.696440026720074,0.819
42,zz,4,2,linear,0.5,10,0.8175,0.16360999660903616,3.696440026720074,0.819
42,zz,4,2,linear,0.5,100,0.8095,0.16360999660903616,3.696440026720074,0.819
42,zz,4,2,linear,1.0,1,0.815,0.21990141211037623,17.1921826767708,0.819
42,zz,4,2,linear,1.0,10,0.809,0.21990141211037623,17.1921826767708,0.819
42,zz,4,2,linear,1.0,100,0.8115,0.21990141211037623,17.1921826767708,0.819
42,zz,4,2,linear,2.0,1,0.8035,0.16701200088347007,52.03334614000606,0.819
42,zz,4,2,linear,2.0,10,0.794,0.16701200088347007,52.03334614000606,0.819
42,zz,4,2,linear,2.0,100,0.7795,0.16701200088347007,52.03334614000606,0.819
42,zz,4,1,full,0.25,1,0.8135,0.1537864978787992,1.7313755315065786,0.819
42,zz,4,1,full,0.25,10,0.8175,0.1537864978787992,1.7313755315065786,0.819
42,zz,4,1,full,0.25,100,0.8165,0.1537864978787992,1.7313755315065786,0.819
42,zz,4,1,full,0.5,1,0.813,0.20786070859907674,3.8391324755042597,0.819
42,zz,4,1,full,0.5,10,0.8135,0.20786070859907674,3.8391324755042597,0.819
42,zz,4,1,full,0.5,100,0.8075,0.20786070859907674,3.8391324755042597,0.819
42,zz,4,1,full,1.0,1,0.8135,0.25191259992065784,13.253667230936614,0.819
42,zz,4,1,full,1.0,10,0.8165,0.25191259992065784,13.253667230936614,0.819
42,zz,4,1,full,1.0,100,0.817,0.25191259992065784,13.253667230936614,0.819
42,zz,4,1,full,2.0,1,0.809,0.1971488364892696,51.014790739583326,0.819
42,zz,4,1,full,2.0,10,0.8025,0.1971488364892696,51.014790739583326,0.819
42,zz,4,1,full,2.0,100,0.792,0.1971488364892696,51.014790739583326,0.819
42,zz,4,2,full,0.25,1,0.8145,0.1353134158227155,1.786183560442428,0.819
42,zz,4,2,full,0.25,10,0.8135,0.1353134158227155,1.786183560442428,0.819
42,zz,4,2,full,0.25,100,0.8145,0.1353134158227155,1.786183560442428,0.819
42,zz,4,2,full,0.5,1,0.8175,0.20191229998358398,5.2350034133766785,0.819
42,zz,4,2,full,0.5,10,0.816,0.20191229998358398,5.2350034133766785,0.819
42,zz,4,2,full,0.5,100,0.805,0.20191229998358398,5.2350034133766785,0.819
42,zz,4,2,full,1.0,1,0.818,0.1679496281373817,17.54873689704646,0.819
42,zz,4,2,full,1.0,10,0.809,0.1679496281373817,17.54873689704646,0.819
42,zz,4,2,full,1.0,100,0.807,0.1679496281373817,17.54873689704646,0.819
42,zz,4,2,full,2.0,1,0.807,0.10350867958448268,68.57933522558525,0.819
42,zz,4,2,full,2.0,10,0.8015,0.10350867958448268,68.57933522558525,0.819
42,zz,4,2,full,2.0,100,0.7915,0.10350867958448268,68.57933522558525,0.819
42,z,4,1,linear,0.25,1,0.812,0.1273830323806894,1.1092000332324023,0.819
42,z,4,1,linear,0.25,10,0.8145,0.1273830323806894,1.1092000332324023,0.819
42,z,4,1,linear,0.25,100,0.8185,0.1273830323806894,1.1092000332324023,0.819
42,z,4,1,linear,0.5,1,0.814,0.1388002829613219,1.3792859205271266,0.819
42,z,4,1,linear,0.5,10,0.819,0.1388002829613219,1.3792859205271266,0.819
42,z,4,1,linear,0.5,100,0.818,0.1388002829613219,1.3792859205271266,0.819
42,z,4,1,linear,1.0,1,0.819,0.17760402838373807,2.444071931474815,0.819
42,z,4,1,linear,1.0,10,0.82,0.17760402838373807,2.444071931474815,0.819
42,z,4,1,linear,1.0,100,0.815,0.17760402838373807,2.444071931474815,0.819
42,z,4,1,linear,2.0,1,0.815,0.25007190658305845,7.449096766702254,0.819
42,z,4,1,linear,2.0,10,0.8075,0.25007190658305845,7.449096766702254,0.819
42,z,4,1,linear,2.0,100,0.8055,0.25007190658305845,7.449096766702254,0.819
42,z,4,2,linear,0.25,1,0.814,0.1324831416368029,1.1254041144332123,0.819
42,z,4,2,linear,0.25,10,0.816,0.1324831416368029,1.1254041144332123,0.819
42,z,4,2,linear,0.25,100,0.818,0.1324831416368029,1.1254041144332123,0.819
42,z,4,2,linear,0.5,1,0.818,0.1552864542080718,1.560973484772008,0.819
42,z,4,2,linear,0.5,10,0.82,0.1552864542080718,1.560973484772008,0.819
42,z,4,2,linear,0.5,100,0.818,0.1552864542080718,1.560973484772008,0.819
42,z,4,2,linear,1.0,1,0.816,0.21813017694673176,3.736068001265429,0.819
42,z,4,2,linear,1.0,10,0.815,0.21813017694673176,3.736068001265429,0.819
42,z,4,2,linear,1.0,100,0.805,0.21813017694673176,3.736068001265429,0.819
42,z,4,2,linear,2.0,1,0.8175,0.17679165158241297,7.390902227635208,0.819
42,z,4,2,linear,2.0,10,0.8135,0.17679165158241297,7.390902227635208,0.819
42,z,4,2,linear,2.0,100,0.8065,0.17679165158241297,7.390902227635208,0.819
