seed,feature_map,n_qubits,reps,entanglement,alpha,C,val_accuracy,alignment,effective_rank,classical_control
2024,zz,4,1,linear,0.25,1,0.8055,0.1923195109814418,1.4210337200731886,0.8135
2024,zz,4,1,linear,0.25,10,0.8115,0.1923195109814418,1.4210337200731886,0.8135
2024,zz,4,1,linear,0.25,100,0.805,0.1923195109814418,1.4210337200731886,0.8135
2024,zz,4,1,linear,0.5,1,0.806,0.24819352415441856,2.5299465453712755,0.8135
2024,zz,4,1,linear,0.5,10,0.8035,0.24819352415441856,2.5299465453712755,0.8135
2024,zz,4,1,linear,0.5,100,0.804,0.24819352415441856,2.5299465453712755,0.8135
2024,zz,4,1,linear,1.0,1,0.8025,0.3169582349573749,7.446901243453565,0.8135
2024,zz,4,1,linear,1.0,10,0.805,0.3169582349573749,7.446901243453565,0.8135
2024,zz,4,1,linear,1.0,100,0.809,0.3169582349573749,7.446901243453565,0.8135
2024,zz,4,1,linear,2.0,1,0.8145,0.2795296645946145,30.049793940611305,0.8135
2024,zz,4,1,linear,2.0,10,0.805,0.2795296645946145,30.049793940611305,0.8135
2024,zz,4,1,linear,2.0,100,0.8005,0.2795296645946145,30.049793940611305,0.8135
2024,zz,4,2,linear,0.25,1,0.8065,0.1951411086421007,1.5307107222261869,0.8135
2024,zz,4,2,linear,0.25,10,0.8065,0.1951411086421007,1.5307107222261869,0.8135
2024,zz,4,2,linear,0.25,100,0.8075,0.1951411086421007,1.5307107222261869,0.8135
2024,zz,4,2,linear,0.5,1,0.8005,0.2646225816144402,3.6509947230813906,0.8135
2024,zz,4,2,linear,0.5,10,0.8055,0.2646225816144402,3.6509947230813906,0.8135
2024,zz,4,2,linear,0.5,100,0.808,0.2646225816144402,3.6509947230813906,0.8135
2024,zz,4,2,linear,1.0,1,0.812,0.32711386041437784,15.785714246926968,0.8135
2024,zz,4,2,linear,1.0,10,0.8165,0.32711386041437784,15.785714246926968,0.8135
2024,zz,4,2,linear,1.0,100,0.811,0.32711386041437784,15.785714246926968,0.8135
2024,zz,4,2,linear,2.0,1,0.8115,0.235496314579739,48.742831696594834,0.8135
2024,zz,4,2,linear,2.0,10,0.797,0.235496314579739,48.742831696594834,0.8135
2024,zz,4,2,linear,2.0,100,0.7715,0.235496314579739,48.742831696594834,0.8135
2024,zz,4,1,full,0.25,1,0.8055,0.23198042318363365,1.744737917622519,0.8135
2024,zz,4,1,full,0.25,10,0.8015,0.23198042318363365,1.744737917622519,0.8135
2024,zz,4,1,full,0.25,100,0.808,0.23198042318363365,1.744737917622519,0.8135
2024,zz,4,1,full,0.5,1,0.8025,0.29511248387406414,3.8805160339860123,0.8135
2024,zz,4,1,full,0.5,10,0.8075,0.29511248387406414,3.8805160339860123,0.8135
2024,zz,4,1,full,0.5,100,0.8045,0.29511248387406414,3.8805160339860123,0.8135
2024,zz,4,1,full,1.0,1,0.8085,0.30681188638632145,13.202344039006906,0.8135
2024,zz,4,1,full,1.0,10,0.8045,0.30681188638632145,13.202344039006906,0.8135
2024,zz,4,1,full,1.0,100,0.803,0.30681188638632145,13.202344039006906,0.8135
2024,zz,4,1,full,2.0,1,0.8035,0.19256521222198525,49.43908691281231,0.8135
2024,zz,4,1,full,2.0,10,0.7945,0.19256521222198525,49.43908691281231,0.8135
2024,zz,4,1,full,2.0,100,0.7845,0.19256521222198525,49.43908691281231,0.8135
2024,zz,4,2,full,0.25,1,0.7985,0.23692858675642464,1.8085229633409525,0.8135
2024,zz,4,2,full,0.25,10,0.802,0.23692858675642464,1.8085229633409525,0.8135
2024,zz,4,2,full,0.25,100,0.8045,0.23692858675642464,1.8085229633409525,0.8135
2024,zz,4,2,full,0.5,1,0.807,0.30020061009433174,5.318798501452307,0.8135
2024,zz,4,2,full,0.5,10,0.817,0.30020061009433174,5.318798501452307,0.8135
2024,zz,4,2,full,0.5,100,0.8075,0.30020061009433174,5.318798501452307,0.8135
2024,zz,4,2,full,1.0,1,0.81,0.3258421605205805,17.210289135507484,0.8135
2024,zz,4,2,full,1.0,10,0.799,0.3258421605205805,17.210289135507484,0.8135
2024,zz,4,2,full,1.0,100,0.7975,0.3258421605205805,17.210289135507484,0.8135
2024,zz,4,2,full,2.0,1,0.794,0.1897820727400871,66.21553298963765,0.8135
2024,zz,4,2,full,2.0,10,0.7845,0.1897820727400871,66.21553298963765,0.8135
2024,zz,4,2,full,2.0,100,0.7645,0.1897820727400871,66.21553298963765,0.8135
2024,z,4,1,linear,0.25,1,0.81,0.16277140253302338,1.104824154208504,0.8135
2024,z,4,1,linear,0.25,10,0.809,0.16277140253302338,1.104824154208504,0.8135
2024,z,4,1,linear,0.25,100,0.809,0.16277140253302338,1.104824154208504,0.8135
2024,z,4,1,linear,0.5,1,0.81,0.17468709736313306,1.3632402239728731,0.8135
2024,z,4,1,linear,0.5,10,0.809,0.17468709736313306,1.3632402239728731,0.8135
2024,z,4,1,linear,0.5,100,0.812,0.17468709736313306,1.3632402239728731,0.8135
2024,z,4,1,linear,1.0,1,0.8125,0.21293798418681087,2.3728629705297637,0.8135
2024,z,4,1,linear,1.0,10,0.811,0.21293798418681087,2.3728629705297637,0.8135
2024,z,4,1,linear,1.0,100,0.8055,0.21293798418681087,2.3728629705297637,0.8135
2024,z,4,1,linear,2.0,1,0.808,0.28175991892314944,7.118092631600485,0.8135
2024,z,4,1,linear,2.0,10,0.802,0.28175991892314944,7.118092631600485,0.8135
2024,z,4,1,linear,2.0,100,0.8005,0.28175991892314944,7.118092631600485,0.8135
2024,z,4,2,linear,0.25,1,0.809,0.16505846931238155,1.119207561453959,0.8135
2024,z,4,2,linear,0.25,10,0.81,0.16505846931238155,1.119207561453959,0.8135
2024,z,4,2,linear,0.25,100,0.8105,0.16505846931238155,1.119207561453959,0.8135
2024,z,4,2,linear,0.5,1,0.8105,0.18349994555266394,1.5266223355526114,0.8135
2024,z,4,2,linear,0.5,10,0.807,0.18349994555266394,1.5266223355526114,0.8135
2024,z,4,2,linear,0.5,100,0.81,0.18349994555266394,1.5266223355526114,0.8135
2024,z,4,2,linear,1.0,1,0.814,0.25374642075708126,3.6083540691801304,0.8135
2024,z,4,2,linear,1.0,10,0.813,0.25374642075708126,3.6083540691801304,0.8135
2024,z,4,2,linear,1.0,100,0.809,0.25374642075708126,3.6083540691801304,0.8135
2024,z,4,2,linear,2.0,1,0.8135,0.21108257851675125,7.03762712749933,0.8135
2024,z,4,2,linear,2.0,10,0.8095,0.21108257851675125,7.03762712749933,0.8135
2024,z,4,2,linear,2.0,100,0.796,0.21108257851675125,7.03762712749933,0.8135
2024,zprod,4,1,linear,0.25,1,0.8105,0.19446545641490473,1.4092036707042284,0.8135
2024,zprod,4,1,linear,0.25,10,0.8095,0.19446545641490473,1.4092036707042284,0.8135
2024,zprod,4,1,linear,0.25,100,0.81,0.19446545641490473,1.4092036707042284,0.8135
2024,zprod,4,1,linear,0.5,1,0.811,0.24064424335950624,2.4914394194068095,0.8135
2024,zprod,4,1,linear,0.5,10,0.8075,0.24064424335950624,2.4914394194068095,0.8135
2024,zprod,4,1,linear,0.5,100,0.806,0.24064424335950624,2.4914394194068095,0.8135
2024,zprod,4,1,linear,1.0,1,0.814,0.30704883248397574,7.250052916583482,0.8135
2024,zprod,4,1,linear,1.0,10,0.7995,0.30704883248397574,7.250052916583482,0.8135
2024,zprod,4,1,linear,1.0,100,0.7925,0.30704883248397574,7.250052916583482,0.8135
2024,zprod,4,1,linear,2.0,1,0.805,0.28131442096508064,29.42515604705495,0.8135
2024,zprod,4,1,linear,2.0,10,0.8025,0.28131442096508064,29.42515604705495,0.8135
2024,zprod,4,1,linear,2.0,100,0.8065,0.28131442096508064,29.42515604705495,0.8135
2024,zprod,4,2,linear,0.25,1,0.8095,0.20516405033374308,1.6118872270429403,0.8135
2024,zprod,4,2,linear,0.25,10,0.807,0.20516405033374308,1.6118872270429403,0.8135
2024,zprod,4,2,linear,0.25,100,0.8045,0.20516405033374308,1.6118872270429403,0.8135
2024,zprod,4,2,linear,0.5,1,0.8085,0.27408394935680996,3.8136995097644477,0.8135
2024,zprod,4,2,linear,0.5,10,0.8025,0.27408394935680996,3.8136995097644477,0.8135
2024,zprod,4,2,linear,0.5,100,0.803,0.27408394935680996,3.8136995097644477,0.8135
2024,zprod,4,2,linear,1.0,1,0.8125,0.307195848851632,14.786285276127366,0.8135
2024,zprod,4,2,linear,1.0,10,0.809,0.307195848851632,14.786285276127366,0.8135
2024,zprod,4,2,linear,1.0,100,0.8035,0.307195848851632,14.786285276127366,0.8135
2024,zprod,4,2,linear,2.0,1,0.805,0.27131723306929567,47.61074920767378,0.8135
2024,zprod,4,2,linear,2.0,10,0.785,0.27131723306929567,47.61074920767378,0.8135
2024,zprod,4,2,linear,2.0,100,0.788,0.27131723306929567,47.61074920767378,0.8135
2024,zprod,4,1,full,0.25,1,0.8095,0.23581133139441446,1.7423588304484003,0.8135
