model,clean_cv_accuracy
Logistic + poly2,0.9017620458443786
MLP,0.9000467799781694
ExtraTrees,0.8983315141119601
LogisticRegression,0.8970840480274442
RandomForest,0.8934975830344613
HistGradientBoosting,0.8897551847809138
RBF-SVM,0.8891314517386558
