seed,feature_map,n_qubits,reps,entanglement,alpha,C,val_accuracy,alignment,effective_rank,classical_control
7,zz,4,1,linear,0.25,1,0.7975,0.10231894190005865,1.453102390174924,0.817
7,zz,4,1,linear,0.25,10,0.804,0.10231894190005865,1.453102390174924,0.817
7,zz,4,1,linear,0.25,100,0.8085,0.10231894190005865,1.453102390174924,0.817
7,zz,4,1,linear,0.5,1,0.8075,0.14142291539329024,2.652819768184141,0.817
7,zz,4,1,linear,0.5,10,0.8065,0.14142291539329024,2.652819768184141,0.817
7,zz,4,1,linear,0.5,100,0.813,0.14142291539329024,2.652819768184141,0.817
7,zz,4,1,linear,1.0,1,0.8135,0.1959704979090787,8.091957069841984,0.817
7,zz,4,1,linear,1.0,10,0.816,0.1959704979090787,8.091957069841984,0.817
7,zz,4,1,linear,1.0,100,0.814,0.1959704979090787,8.091957069841984,0.817
7,zz,4,1,linear,2.0,1,0.8105,0.1749098081075018,33.540094242221805,0.817
7,zz,4,1,linear,2.0,10,0.812,0.1749098081075018,33.540094242221805,0.817
7,zz,4,1,linear,2.0,100,0.799,0.1749098081075018,33.540094242221805,0.817
7,zz,4,2,linear,0.25,1,0.797,0.11447769733879945,1.5583113054269802,0.817
7,zz,4,2,linear,0.25,10,0.805,0.11447769733879945,1.5583113054269802,0.817
7,zz,4,2,linear,0.25,100,0.808,0.11447769733879945,1.5583113054269802,0.817
7,zz,4,2,linear,0.5,1,0.8115,0.15755045675266574,3.7258371954916294,0.817
7,zz,4,2,linear,0.5,10,0.8135,0.15755045675266574,3.7258371954916294,0.817
7,zz,4,2,linear,0.5,100,0.8145,0.15755045675266574,3.7258371954916294,0.817
7,zz,4,2,linear,1.0,1,0.8145,0.21240406175992868,16.705815401948804,0.817
7,zz,4,2,linear,1.0,10,0.8165,0.21240406175992868,16.705815401948804,0.817
7,zz,4,2,linear,1.0,100,0.8125,0.21240406175992868,16.705815401948804,0.817
7,zz,4,2,linear,2.0,1,0.804,0.14218725886519445,53.34591981972856,0.817
7,zz,4,2,linear,2.0,10,0.787,0.14218725886519445,53.34591981972856,0.817
7,zz,4,2,linear,2.0,100,0.7805,0.14218725886519445,53.34591981972856,0.817
7,zz,4,1,full,0.25,1,0.8045,0.18546994633955977,1.8355033009412927,0.817
7,zz,4,1,full,0.25,10,0.808,0.18546994633955977,1.8355033009412927,0.817
7,zz,4,1,full,0.25,100,0.8125,0.18546994633955977,1.8355033009412927,0.817
7,zz,4,1,full,0.5,1,0.8125,0.22923331282404397,4.268622548794743,0.817
7,zz,4,1,full,0.5,10,0.812,0.22923331282404397,4.268622548794743,0.817
7,zz,4,1,full,0.5,100,0.8145,0.22923331282404397,4.268622548794743,0.817
7,zz,4,1,full,1.0,1,0.8115,0.24216471212311652,15.160739037343621,0.817
7,zz,4,1,full,1.0,10,0.81,0.24216471212311652,15.160739037343621,0.817
7,zz,4,1,full,1.0,100,0.813,0.24216471212311652,15.160739037343621,0.817
7,zz,4,1,full,2.0,1,0.8065,0.17155278076501562,57.10450555201189,0.817
7,zz,4,1,full,2.0,10,0.802,0.17155278076501562,57.10450555201189,0.817
7,zz,4,1,full,2.0,100,0.7855,0.17155278076501562,57.10450555201189,0.817
7,zz,4,2,full,0.25,1,0.8005,0.17173389731945224,1.904944048284563,0.817
7,zz,4,2,full,0.25,10,0.8045,0.17173389731945224,1.904944048284563,0.817
7,zz,4,2,full,0.25,100,0.81,0.17173389731945224,1.904944048284563,0.817
7,zz,4,2,full,0.5,1,0.812,0.22479817956060386,5.921503300659706,0.817
7,zz,4,2,full,0.5,10,0.805,0.22479817956060386,5.921503300659706,0.817
7,zz,4,2,full,0.5,100,0.8105,0.22479817956060386,5.921503300659706,0.817
