bin_lo,bin_hi,n,predicted,observed
0.0,0.1,2039,0.025507120511910012,0.026974006866110838
0.1,0.2,386,0.14411587412307772,0.15025906735751296
0.2,0.30000000000000004,238,0.24936554196176355,0.24789915966386555
0.30000000000000004,0.4,213,0.3479917369095456,0.38497652582159625
0.4,0.5,188,0.45097885731327064,0.39893617021276595
0.5,0.6000000000000001,175,0.5500540824314706,0.56
0.6000000000000001,0.7000000000000001,182,0.6501420556565412,0.6208791208791209
0.7000000000000001,0.8,233,0.7509723109981301,0.7081545064377682
0.8,0.9,410,0.8555963244593282,0.8560975609756097
0.9,1.0,2349,0.9768921301565944,0.9812686249467859
