model,seed,threshold,cv_accuracy,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,specificity,tn,fp,fn,tp,feature_map,n_qubits
LogisticRegression,2024,0.5184606739103833,0.824375,0.814,0.8140000000000001,0.8264033264033264,0.795,0.8103975535168195,0.851072,0.7967879962204225,0.6284539076411718,0.833,833,167,205,795,,
Logistic-poly2,2024,0.5000795599936119,0.840125,0.828,0.828,0.829979879275654,0.825,0.827482447342026,0.8771150000000001,0.8489148731033449,0.6560118083188256,0.831,831,169,175,825,,
RBF-SVM,2024,0.524296875,0.845875,0.842,0.842,0.8630573248407644,0.813,0.8372811534500515,0.927698,0.934238772090508,0.6851533988424315,0.871,871,129,187,813,,
RandomForest,2024,0.5670008592206608,0.844375,0.849,0.849,0.9067599067599068,0.778,0.83745963401507,0.926813,0.9315713090433806,0.7051454805348788,0.92,920,80,222,778,,
ExtraTrees,2024,0.5357459759568524,0.846375,0.854,0.8540000000000001,0.9004524886877828,0.796,0.8450106157112527,0.929126,0.9350769618936072,0.7128120419523232,0.912,912,88,204,796,,
HistGradientBoosting,2024,0.5253064514639973,0.8465,0.8485,0.8485,0.8800436205016358,0.807,0.8419405320813772,0.929096,0.9346363360872808,0.699413292562285,0.89,890,110,193,807,,
MLP,2024,0.4983424589458938,0.847625,0.8475,0.8474999999999999,0.866948257655755,0.821,0.8433487416538265,0.928437,0.9343186718508124,0.6959781887822946,0.874,874,126,179,821,,
kNN,2024,0.524458989209712,0.829875,0.8335,0.8335,0.8544102019128587,0.804,0.8284389489953632,0.9161315,0.9225759797509074,0.6681639531737886,0.863,863,137,196,804,,
LightGBM,2024,0.5825594232628221,0.847625,0.8485,0.8485,0.8946772366930917,0.79,0.8390865639936272,0.930728,0.936808977593834,0.7018201607276134,0.907,907,93,210,790,,
XGBoost,2024,0.5773155689239502,0.847125,0.847,0.847,0.8872767857142857,0.795,0.8386075949367089,0.930956,0.9366842467630666,0.6977838746076939,0.899,899,101,205,795,,
CatBoost,2024,0.5906030244036781,0.848875,0.8505,0.8505,0.8942632170978627,0.795,0.841715193223928,0.932458,0.938106915941328,0.7053588309804645,0.906,906,94,205,795,,
RegimeRouter,2024,0.6097455074527565,0.8495,0.845,0.845,0.8859060402684564,0.792,0.8363252375923971,0.918594,0.9281101292882976,0.6939093954973925,0.898,898,102,208,792,,
Ensemble-mean,2024,0.5449023518891862,,0.8535,0.8535,0.8906077348066298,0.806,0.8461942257217848,0.933094,0.9389016325004664,0.7102120957993484,0.901,901,99,194,806,,
Ensemble-rank,2024,0.53771875,,0.855,0.855,0.893569844789357,0.806,0.8475289169295478,0.933367,0.9392315936655802,0.7134341762646181,0.904,904,96,194,806,,
Ensemble-weighted,2024,0.5432515692289568,,0.8535,0.8535,0.8906077348066298,0.806,0.8461942257217848,0.933097,0.938882488380855,0.7102120957993484,0.901,901,99,194,806,,
Ensemble-stack,2024,0.6620751195171904,,0.85,0.8500000000000001,0.906032482598608,0.781,0.8388829215896885,0.932808,0.9386345967551046,0.7067621383777806,0.919,919,81,219,781,,
QSVM,2024,0.0,0.8335,0.832,0.8320000000000001,0.8585313174946004,0.795,0.8255451713395638,0.917684,0.9257268885033204,0.6658255328943394,0.869,869,131,205,795,zz,9.0
VQC,42,0.5,0.822,0.821,0.821,0.8282208588957055,0.81,0.8190091001011123,0.8881590000000001,0.8843443657067223,0.6421554204198885,0.832,832,168,190,810,zz,4.0
VQC,7,0.5,0.825,0.837,0.837,0.8600427350427351,0.805,0.8316115702479339,0.9110639999999999,0.9119597134460765,0.6753846069674507,0.869,869,131,195,805,z,8.0
VQC,2024,0.5,0.8185,0.8115,0.8115,0.8093346573982125,0.815,0.8121574489287494,0.8954030000000002,0.9016028145018868,0.6230152640609565,0.808,808,192,185,815,z,8.0
