seed,n_qubits,reps,fmap,alpha,readout,val_accuracy,n_params,train_loss,seconds
7,4,2,z,0.25,z0,0.803,14,0.6266312589782034,0.78
7,4,2,z,0.5,parity,0.8035,14,0.5568331290606988,0.79
7,4,2,z,0.5,z0,0.804,14,0.5490586957624541,0.74
7,4,2,z,1.0,parity,0.8055,14,0.4903640068987356,0.73
7,4,2,z,1.0,z0,0.809,14,0.5101104134078285,0.69
7,4,4,zz,0.25,parity,0.7855,22,0.5857117975175672,0.93
7,4,4,zz,0.25,z0,0.7885,22,0.5871265802638174,0.82
7,4,4,zz,0.5,parity,0.797,22,0.47981861269491755,0.79
7,4,4,zz,0.5,z0,0.801,22,0.5012775590763233,0.79
7,4,4,zz,1.0,parity,0.795,22,0.4599137286288995,0.81
7,4,4,zz,1.0,z0,0.8015,22,0.4567664632534559,0.79
7,4,4,z,0.25,parity,0.7905,22,0.6381562551921454,0.82
7,4,4,z,0.25,z0,0.805,22,0.6439743245982625,0.91
7,4,4,z,0.5,parity,0.7955,22,0.5519099694401932,0.84
7,4,4,z,0.5,z0,0.8035,22,0.5495670449090362,0.82
7,4,4,z,1.0,parity,0.8025,22,0.5018738045121695,0.83
7,4,4,z,1.0,z0,0.802,22,0.4948472508263334,0.81
7,6,2,zz,0.25,parity,0.7755,20,0.6058688015101787,1.36
7,6,2,zz,0.25,z0,0.792,20,0.5910931151840182,1.34
7,6,2,zz,0.5,parity,0.7855,20,0.5202036177128393,1.31
7,6,2,zz,0.5,z0,0.796,20,0.5426932504204174,1.37
7,6,2,zz,1.0,parity,0.7915,20,0.49312296937003997,1.35
7,6,2,zz,1.0,z0,0.788,20,0.4833813857841943,1.3
7,6,2,z,0.25,parity,0.787,20,0.6380859151723624,1.5
7,6,2,z,0.25,z0,0.7935,20,0.6285495432182199,1.39
7,6,2,z,0.5,parity,0.802,20,0.5434060208234385,1.31
7,6,2,z,0.5,z0,0.8005,20,0.538064186645425,1.42
7,6,2,z,1.0,parity,0.81,20,0.4881832638190832,1.36
7,6,2,z,1.0,z0,0.814,20,0.49209208843691804,1.38
7,6,4,zz,0.25,parity,0.7815,32,0.6085456187671195,1.6
7,6,4,zz,0.25,z0,0.7835,32,0.6057836872828758,1.46
7,6,4,zz,0.5,parity,0.7855,32,0.5248525199718334,1.43
7,6,4,zz,0.5,z0,0.7915,32,0.5271671392729045,1.51
7,6,4,zz,1.0,parity,0.7725,32,0.48668251811554325,1.5
7,6,4,zz,1.0,z0,0.79,32,0.45591976359376235,1.49
7,6,4,z,0.25,parity,0.8055,32,0.6462362958970159,1.41
7,6,4,z,0.25,z0,0.791,32,0.6404781730741815,1.43
7,6,4,z,0.5,parity,0.803,32,0.5644742740277663,1.34
7,6,4,z,0.5,z0,0.801,32,0.5490825960884046,1.41
7,6,4,z,1.0,parity,0.8075,32,0.4798279360662903,1.42
7,6,4,z,1.0,z0,0.814,32,0.48726000298825217,1.48
7,8,2,zz,0.25,parity,0.7875,26,0.6061632859806091,9.34
7,8,2,zz,0.25,z0,0.7815,26,0.6093291289238213,9.03
7,8,2,zz,0.5,parity,0.816,26,0.5561687979082198,8.89
7,8,2,zz,0.5,z0,0.7385,26,0.5767480515927507,9.07
7,8,2,zz,1.0,parity,0.7735,26,0.5042147669667169,8.23
7,8,2,zz,1.0,z0,0.802,26,0.4626497646659309,8.12
7,8,2,z,0.25,parity,0.798,26,0.6463940641719632,8.37
7,8,2,z,0.25,z0,0.8075,26,0.6571929820470047,8.57
7,8,2,z,0.5,parity,0.8055,26,0.5662835949283976,8.38
7,8,2,z,0.5,z0,0.801,26,0.5456299254725887,9.16
7,8,2,z,1.0,parity,0.825,26,0.48491853030338833,8.73
7,8,2,z,1.0,z0,0.8075,26,0.5099218375492821,9.17
7,8,4,zz,0.25,parity,0.79,42,0.6143015183160598,12.33
7,8,4,zz,0.25,z0,0.8005,42,0.6123040856410475,12.31
7,8,4,zz,0.5,parity,0.786,42,0.5450627507576049,11.92
7,8,4,zz,0.5,z0,0.7735,42,0.5500976467806077,12.18
7,8,4,zz,1.0,parity,0.7975,42,0.47233832653966396,11.74
7,8,4,zz,1.0,z0,0.7935,42,0.47088821005679826,11.75
7,8,4,z,0.25,parity,0.788,42,0.6547776003253069,11.83
7,8,4,z,0.25,z0,0.7765,42,0.6614762214743869,11.58
7,8,4,z,0.5,parity,0.806,42,0.5665694757026342,11.86
7,8,4,z,0.5,z0,0.8015,42,0.5836674454453582,12.47
7,8,4,z,1.0,parity,0.8125,42,0.4866307671720026,11.99
